Frequency [Hz]	Magnitude [V]	Phase [rad]	X [V]	Y [V]
1.00000000E+0	4.82135529E+0	-2.88354344E+0	-4.66171852E+0	-1.23038501E+0
1.09854114E+0	5.11604526E+0	-2.97891395E+0	-5.04849799E+0	-8.28605530E-1
1.20679264E+0	4.72622510E+0	-3.04635007E+0	-4.70480515E+0	-4.49457668E-1
1.32571137E+0	4.67331449E+0	-3.04263349E+0	-4.65045047E+0	-4.61712851E-1
1.45634848E+0	4.68815881E+0	-3.07066774E+0	-4.67637223E+0	-3.32228575E-1
1.59985872E+0	4.73432816E+0	-3.13722185E+0	-4.73428293E+0	-2.06927523E-2
1.75751062E+0	4.73000739E+0	-3.14133459E+0	-4.73000723E+0	-1.22063950E-3
1.93069773E+0	4.73829154E+0	-3.11689678E+0	-4.73684670E+0	-1.17004340E-1
2.12095089E+0	5.03532455E+0	3.00424014E+0	-4.98790168E+0	6.89441903E-1
2.32995181E+0	4.80020635E+0	2.93975755E+0	-4.70276384E+0	9.62285450E-1
2.55954792E+0	4.67331040E+0	2.97306965E+0	-4.60710629E+0	7.83837813E-1
2.81176870E+0	4.74652283E+0	2.93532051E+0	-4.64590236E+0	9.72147226E-1
3.08884360E+0	4.87396408E+0	2.89922079E+0	-4.73150515E+0	1.16977983E+0
3.39322177E+0	4.29540691E+0	2.90287525E+0	-4.17359799E+0	1.01567729E+0
3.72759372E+0	4.29784532E+0	2.78957725E+0	-4.03430027E+0	1.48185549E+0
4.09491506E+0	4.30657763E+0	2.77401790E+0	-4.01890519E+0	1.54758264E+0
4.49843267E+0	4.33330446E+0	2.70768402E+0	-3.93173460E+0	1.82180969E+0
4.94171336E+0	3.95580457E+0	2.78157147E+0	-3.70219542E+0	1.39360645E+0
5.42867544E+0	3.85972400E+0	2.70687680E+0	-3.50073010E+0	1.62553317E+0
5.96362332E+0	3.57017626E+0	2.70104142E+0	-3.22928416E+0	1.52245930E+0
6.55128557E+0	4.05375494E+0	2.70831491E+0	-3.67916558E+0	1.70196056E+0
7.19685673E+0	3.65206176E+0	2.64346976E+0	-3.20826667E+0	1.74487250E+0
7.90604321E+0	3.49564763E+0	2.60886789E+0	-3.01124320E+0	1.77537792E+0
8.68511374E+0	3.46864723E+0	2.50834465E+0	-2.79611020E+0	2.05262792E+0
9.54095476E+0	3.26707084E+0	2.51601188E+0	-2.64836332E+0	1.91309267E+0
1.04811313E+1	3.41507669E+0	2.51347191E+0	-2.76325205E+0	2.00678520E+0
1.15139540E+1	3.21083920E+0	2.48993522E+0	-2.55287290E+0	1.94739014E+0
1.26485522E+1	3.22878260E+0	2.41088605E+0	-2.40448410E+0	2.15487663E+0
1.38949549E+1	2.88961910E+0	2.32441859E+0	-1.97732200E+0	2.10715358E+0
1.52641797E+1	3.02225489E+0	2.28566856E+0	-1.98115135E+0	2.28233738E+0
1.67683294E+1	2.92411289E+0	2.18460719E+0	-1.68425060E+0	2.39034226E+0
1.84206997E+1	2.88635304E+0	2.12817772E+0	-1.52678191E+0	2.44948380E+0
2.02358965E+1	2.51882562E+0	2.06377457E+0	-1.19203826E+0	2.21890227E+0
2.22299648E+1	2.35249592E+0	1.98579613E+0	-9.48502244E-1	2.15280759E+0
2.44205309E+1	2.35695941E+0	1.88818341E+0	-7.35572183E-1	2.23923898E+0
2.68269580E+1	2.36270596E+0	1.78030472E+0	-4.91393375E-1	2.31104132E+0
2.94705170E+1	1.96082513E+0	1.77411238E+0	-3.95926245E-1	1.92043682E+0
3.23745754E+1	2.08097563E+0	1.61507035E+0	-9.21030686E-2	2.07893641E+0
3.55648031E+1	1.96688725E+0	1.43117112E+0	2.73735581E-1	1.94774595E+0
3.90693994E+1	1.48700345E+0	1.29965794E+0	3.98261762E-1	1.43267820E+0
4.29193426E+1	1.38773234E+0	1.19017363E+0	5.15540720E-1	1.28841717E+0
4.71486636E+1	1.20524339E+0	9.12642043E-1	7.37196406E-1	9.53495192E-1
5.17947468E+1	7.43175599E-1	6.58050735E-1	5.87990024E-1	4.54508199E-1
5.68986603E+1	2.95647292E-1	2.65210512E-1	2.85310677E-1	7.74928290E-2
6.25055193E+1	1.55054280E-1	2.91739775E+0	-1.51173800E-1	3.44718983E-2
6.86648845E+1	5.20975098E-1	2.46214794E+0	-4.05277864E-1	3.27360514E-1
7.54312006E+1	7.21876028E-1	2.03933433E+0	-3.25986457E-1	6.44079055E-1
8.28642773E+1	7.16833892E-1	1.77206784E+0	-1.43306088E-1	7.02363292E-1
9.10298178E+1	6.49867007E-1	1.41101237E+0	1.03397035E-1	6.41588793E-1
1.00000000E+2	4.86608207E-1	1.14763103E+0	1.99824979E-1	4.43686291E-1
